week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2022-02-06,Super Bowl 2024,Nick Saban retiring,Oscar nominations 2024,"Perry, Iowa",Dallas Cowboys,NFL Games Today,Adan Canto,Powerball,Vince McMahon,Jim Harbaugh,Ohio State football,Adam Harrison,Kansas City Chiefs,Alabama vs Michigan,Jason Kelce retire,New Year's Day,Penn State football,Ecuador,Rickey Smiley,Super Bowl,Pete Carroll,NFL playoff picture,Doc Rivers,Dexter King,Lipid,4505.75,4590.02978515625,4401.41015625,4418.64013671875,23778810000,-81.8896484375
2022-02-13,"Perry, Iowa",Ohio State football,Powerball,Nick Saban retiring,Jim Harbaugh,Adan Canto,New Year's Day,Vince McMahon,Kansas City Chiefs,Adam Harrison,NFL Games Today,Oscar nominations 2024,Dallas Cowboys,Jason Kelce retire,Alabama vs Michigan,Super Bowl 2024,NFL playoff picture,Penn State football,Ecuador,Dexter King,Lipid,Pete Carroll,Rickey Smiley,Doc Rivers,Super Bowl,4412.60986328125,4489.5498046875,4327.22021484375,4348.8701171875,22562340000,-69.77001953125
2022-02-20,NFL Games Today,Ohio State football,Adan Canto,Jason Kelce retire,Oscar nominations 2024,"Perry, Iowa",Alabama vs Michigan,Adam Harrison,Kansas City Chiefs,New Year's Day,Nick Saban retiring,Powerball,Dallas Cowboys,Vince McMahon,Jim Harbaugh,Super Bowl 2024,Ecuador,Rickey Smiley,NFL playoff picture,Super Bowl,Penn State football,Lipid,Doc Rivers,Dexter King,Pete Carroll,4332.740234375,4385.33984375,4114.64990234375,4384.64990234375,21848520000,35.77978515625
2022-02-27,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Adan Canto,Ohio State football,Kansas City Chiefs,Super Bowl 2024,Powerball,"Perry, Iowa",Adam Harrison,Nick Saban retiring,Jim Harbaugh,Jason Kelce retire,NFL Games Today,Vince McMahon,Oscar nominations 2024,NFL playoff picture,Super Bowl,Dexter King,Lipid,Pete Carroll,Doc Rivers,Penn State football,Rickey Smiley,Ecuador,4354.169921875,4416.77978515625,4279.5400390625,4328.8701171875,28092740000,-55.77978515625
2022-03-06,Oscar nominations 2024,Ohio State football,Vince McMahon,Adam Harrison,Jason Kelce retire,Adan Canto,"Perry, Iowa",Jim Harbaugh,Super Bowl 2024,NFL Games Today,Powerball,Nick Saban retiring,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,Super Bowl,Penn State football,Rickey Smiley,Dexter King,Doc Rivers,Lipid,Ecuador,Pete Carroll,NFL playoff picture,4327.009765625,4327.009765625,4157.8701171875,4204.31005859375,29765730000,-124.56005859375
2022-03-13,NFL Games Today,Super Bowl 2024,Vince McMahon,"Perry, Iowa",Dallas Cowboys,Jason Kelce retire,New Year's Day,Jim Harbaugh,Powerball,Ohio State football,Adan Canto,Nick Saban retiring,Oscar nominations 2024,Alabama vs Michigan,Adam Harrison,Kansas City Chiefs,Lipid,Penn State football,Doc Rivers,Ecuador,Pete Carroll,Super Bowl,Rickey Smiley,Dexter King,NFL playoff picture,4202.75,4465.39990234375,4161.72021484375,4463.1201171875,30540660000,258.81005859375
2022-03-20,Vince McMahon,"Perry, Iowa",Adam Harrison,Powerball,Jim Harbaugh,Dallas Cowboys,Alabama vs Michigan,Adan Canto,Kansas City Chiefs,NFL Games Today,Oscar nominations 2024,Super Bowl 2024,Jason Kelce retire,Nick Saban retiring,Ohio State football,New Year's Day,Super Bowl,Penn State football,Ecuador,Lipid,Doc Rivers,Pete Carroll,Rickey Smiley,NFL playoff picture,Dexter King,4462.39990234375,4546.02978515625,4424.2998046875,4543.06005859375,22611740000,79.93994140625
2022-03-27,Dallas Cowboys,Vince McMahon,Alabama vs Michigan,"Perry, Iowa",New Year's Day,Jason Kelce retire,Powerball,Oscar nominations 2024,Jim Harbaugh,Super Bowl 2024,Kansas City Chiefs,Ohio State football,Nick Saban retiring,NFL Games Today,Adan Canto,Adam Harrison,Dexter King,Super Bowl,Penn State football,Ecuador,NFL playoff picture,Lipid,Rickey Smiley,Doc Rivers,Pete Carroll,4541.08984375,4637.2998046875,4507.56982421875,4545.85986328125,23169700000,2.7998046875
2022-04-03,Adan Canto,New Year's Day,Dallas Cowboys,Ohio State football,Alabama vs Michigan,Jim Harbaugh,Oscar nominations 2024,NFL Games Today,Vince McMahon,Adam Harrison,Powerball,"Perry, Iowa",Nick Saban retiring,Kansas City Chiefs,Super Bowl 2024,Jason Kelce retire,Ecuador,Pete Carroll,Doc Rivers,Penn State football,Lipid,Rickey Smiley,Dexter King,Super Bowl,NFL playoff picture,4547.97021484375,4593.4501953125,4450.0400390625,4488.27978515625,23239490000,-57.580078125
2022-04-10,Alabama vs Michigan,Adam Harrison,Super Bowl 2024,Adan Canto,Ohio State football,Oscar nominations 2024,Vince McMahon,Jim Harbaugh,"Perry, Iowa",Dallas Cowboys,NFL Games Today,Kansas City Chiefs,Nick Saban retiring,Jason Kelce retire,New Year's Day,Powerball,Pete Carroll,NFL playoff picture,Ecuador,Dexter King,Rickey Smiley,Lipid,Penn State football,Doc Rivers,Super Bowl,4462.64013671875,4471.0,4381.33984375,4392.58984375,16329620000,-95.68994140625
2022-04-17,Vince McMahon,Super Bowl 2024,Kansas City Chiefs,Ohio State football,Adan Canto,Oscar nominations 2024,Adam Harrison,Dallas Cowboys,"Perry, Iowa",NFL Games Today,Alabama vs Michigan,Jim Harbaugh,Nick Saban retiring,Powerball,New Year's Day,Jason Kelce retire,NFL playoff picture,Doc Rivers,Lipid,Rickey Smiley,Penn State football,Ecuador,Pete Carroll,Super Bowl,Dexter King,4385.6298828125,4512.93994140625,4267.6201171875,4271.77978515625,21597890000,-120.81005859375
2022-04-24,Jim Harbaugh,Powerball,Alabama vs Michigan,Dallas Cowboys,New Year's Day,Adan Canto,Super Bowl 2024,"Perry, Iowa",Ohio State football,Kansas City Chiefs,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,Vince McMahon,Jason Kelce retire,Adam Harrison,Penn State football,Ecuador,Lipid,Pete Carroll,Doc Rivers,Rickey Smiley,NFL playoff picture,Dexter King,Super Bowl,4255.33984375,4308.4501953125,4124.27978515625,4131.93017578125,24637900000,-139.849609375
2022-05-01,Adan Canto,Alabama vs Michigan,Jim Harbaugh,Dallas Cowboys,Oscar nominations 2024,Ohio State football,Kansas City Chiefs,"Perry, Iowa",New Year's Day,Super Bowl 2024,Nick Saban retiring,Vince McMahon,Adam Harrison,Powerball,Jason Kelce retire,NFL Games Today,Ecuador,Super Bowl,Penn State football,Doc Rivers,Rickey Smiley,Dexter King,Pete Carroll,Lipid,NFL playoff picture,4130.60986328125,4307.66015625,4062.510009765625,4123.33984375,25076170000,-8.59033203125
2022-05-08,Alabama vs Michigan,Kansas City Chiefs,Oscar nominations 2024,"Perry, Iowa",Vince McMahon,Super Bowl 2024,Adam Harrison,Adan Canto,Nick Saban retiring,New Year's Day,Jim Harbaugh,Ohio State football,NFL Games Today,Dallas Cowboys,Jason Kelce retire,Powerball,Penn State football,Ecuador,Doc Rivers,Dexter King,NFL playoff picture,Lipid,Super Bowl,Pete Carroll,Rickey Smiley,4081.27001953125,4081.27001953125,3858.8701171875,4023.889892578125,29126270000,-99.449951171875
2022-05-15,Jim Harbaugh,Alabama vs Michigan,NFL Games Today,Ohio State football,Dallas Cowboys,"Perry, Iowa",Powerball,Oscar nominations 2024,Nick Saban retiring,Jason Kelce retire,Super Bowl 2024,New Year's Day,Vince McMahon,Kansas City Chiefs,Adam Harrison,Adan Canto,Penn State football,Ecuador,Doc Rivers,Pete Carroll,Lipid,Rickey Smiley,NFL playoff picture,Dexter King,Super Bowl,4013.02001953125,4090.719970703125,3810.320068359375,3901.360107421875,24603940000,-122.52978515625
2022-05-22,Vince McMahon,Adam Harrison,Super Bowl 2024,Jim Harbaugh,Ohio State football,New Year's Day,Adan Canto,Oscar nominations 2024,Kansas City Chiefs,Alabama vs Michigan,NFL Games Today,Powerball,"Perry, Iowa",Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,Pete Carroll,Penn State football,Super Bowl,Ecuador,Rickey Smiley,Lipid,Doc Rivers,NFL playoff picture,Dexter King,3919.419921875,4158.490234375,3875.1298828125,4158.240234375,23231370000,256.880126953125
2022-05-29,Ohio State football,Jim Harbaugh,Vince McMahon,Oscar nominations 2024,Alabama vs Michigan,Kansas City Chiefs,Super Bowl 2024,Dallas Cowboys,Adan Canto,"Perry, Iowa",Adam Harrison,New Year's Day,Jason Kelce retire,Powerball,Nick Saban retiring,NFL Games Today,Dexter King,Doc Rivers,Penn State football,Pete Carroll,Super Bowl,Ecuador,Lipid,NFL playoff picture,Rickey Smiley,4151.08984375,4177.509765625,4073.85009765625,4108.5400390625,19471340000,-49.7001953125
2022-06-05,Oscar nominations 2024,Dallas Cowboys,Ohio State football,Nick Saban retiring,New Year's Day,Vince McMahon,"Perry, Iowa",Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Super Bowl 2024,Jim Harbaugh,NFL Games Today,Adan Canto,Powerball,Jason Kelce retire,Ecuador,Super Bowl,Penn State football,NFL playoff picture,Pete Carroll,Lipid,Rickey Smiley,Doc Rivers,Dexter King,4134.72021484375,4168.77978515625,3900.159912109375,3900.860107421875,21764190000,-207.679931640625
2022-06-12,Oscar nominations 2024,Kansas City Chiefs,New Year's Day,Super Bowl 2024,Jason Kelce retire,Jim Harbaugh,Dallas Cowboys,Ohio State football,"Perry, Iowa",Vince McMahon,Powerball,NFL Games Today,Adam Harrison,Adan Canto,Nick Saban retiring,Alabama vs Michigan,Dexter King,Lipid,Super Bowl,NFL playoff picture,Ecuador,Rickey Smiley,Doc Rivers,Pete Carroll,Penn State football,3838.14990234375,3838.14990234375,3636.8701171875,3674.840087890625,30486930000,-226.02001953125
2022-06-19,NFL Games Today,Vince McMahon,Oscar nominations 2024,Jim Harbaugh,Dallas Cowboys,Adan Canto,New Year's Day,Adam Harrison,Alabama vs Michigan,Powerball,Kansas City Chiefs,Jason Kelce retire,Super Bowl 2024,Nick Saban retiring,"Perry, Iowa",Ohio State football,Dexter King,Ecuador,Super Bowl,NFL playoff picture,Pete Carroll,Rickey Smiley,Penn State football,Doc Rivers,Lipid,3715.31005859375,3913.64990234375,3715.31005859375,3911.739990234375,23570150000,236.89990234375
2022-06-26,Oscar nominations 2024,New Year's Day,Vince McMahon,Adam Harrison,Alabama vs Michigan,Jim Harbaugh,Super Bowl 2024,NFL Games Today,"Perry, Iowa",Ohio State football,Powerball,Adan Canto,Kansas City Chiefs,Dallas Cowboys,Jason Kelce retire,Nick Saban retiring,Lipid,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Penn State football,Doc Rivers,Pete Carroll,Rickey Smiley,3920.760009765625,3945.860107421875,3738.669921875,3825.330078125,21693690000,-86.409912109375
2022-07-03,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,New Year's Day,Super Bowl 2024,"Perry, Iowa",Dallas Cowboys,Jason Kelce retire,Powerball,Ohio State football,Adam Harrison,Adan Canto,Vince McMahon,Kansas City Chiefs,Jim Harbaugh,Alabama vs Michigan,Super Bowl,Ecuador,Rickey Smiley,Penn State football,Dexter King,Pete Carroll,Doc Rivers,Lipid,NFL playoff picture,3792.610107421875,3918.5,3742.06005859375,3899.3798828125,17073700000,74.0498046875
2022-07-10,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Powerball,Nick Saban retiring,"Perry, Iowa",Ohio State football,Jim Harbaugh,Adam Harrison,Vince McMahon,Jason Kelce retire,Alabama vs Michigan,Oscar nominations 2024,NFL Games Today,Adan Canto,Dallas Cowboys,Super Bowl,NFL playoff picture,Doc Rivers,Ecuador,Lipid,Rickey Smiley,Dexter King,Penn State football,Pete Carroll,3880.93994140625,3880.93994140625,3721.56005859375,3863.159912109375,19693570000,-36.219970703125
2022-07-17,Vince McMahon,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,"Perry, Iowa",Oscar nominations 2024,Jim Harbaugh,Adan Canto,Adam Harrison,Nick Saban retiring,Powerball,Ohio State football,Super Bowl 2024,New Year's Day,Jason Kelce retire,NFL Games Today,Super Bowl,Penn State football,Doc Rivers,NFL playoff picture,Pete Carroll,Lipid,Rickey Smiley,Ecuador,Dexter King,3883.7900390625,4012.43994140625,3818.6298828125,3961.6298828125,20385270000,98.469970703125
2022-07-24,Adam Harrison,Kansas City Chiefs,Vince McMahon,Ohio State football,"Perry, Iowa",Alabama vs Michigan,Adan Canto,Jim Harbaugh,NFL Games Today,Nick Saban retiring,Oscar nominations 2024,Powerball,Jason Kelce retire,Super Bowl 2024,Dallas Cowboys,New Year's Day,Doc Rivers,Super Bowl,Ecuador,Rickey Smiley,Dexter King,Pete Carroll,Penn State football,NFL playoff picture,Lipid,3965.719970703125,4140.14990234375,3910.739990234375,4130.2900390625,20488830000,168.66015625
2022-07-31,Kansas City Chiefs,Alabama vs Michigan,Ohio State football,Jason Kelce retire,Nick Saban retiring,NFL Games Today,"Perry, Iowa",Super Bowl 2024,Oscar nominations 2024,Powerball,Vince McMahon,Dallas Cowboys,Adam Harrison,New Year's Day,Adan Canto,Jim Harbaugh,Penn State football,NFL playoff picture,Rickey Smiley,Super Bowl,Pete Carroll,Dexter King,Doc Rivers,Ecuador,Lipid,4112.3798828125,4167.66015625,4079.81005859375,4145.18994140625,21651540000,14.89990234375
2022-08-07,"Perry, Iowa",Nick Saban retiring,Super Bowl 2024,New Year's Day,Oscar nominations 2024,Ohio State football,Adam Harrison,NFL Games Today,Adan Canto,Jason Kelce retire,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,Vince McMahon,Jim Harbaugh,Powerball,Penn State football,Ecuador,Dexter King,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,Doc Rivers,Rickey Smiley,4155.93017578125,4280.47021484375,4112.08984375,4280.14990234375,21098400000,134.9599609375
2022-08-14,Jason Kelce retire,Dallas Cowboys,Kansas City Chiefs,"Perry, Iowa",Oscar nominations 2024,Alabama vs Michigan,Adan Canto,NFL Games Today,Super Bowl 2024,New Year's Day,Adam Harrison,Jim Harbaugh,Ohio State football,Powerball,Vince McMahon,Nick Saban retiring,Penn State football,Ecuador,Lipid,Rickey Smiley,Super Bowl,Pete Carroll,NFL playoff picture,Doc Rivers,Dexter King,4269.3701171875,4325.27978515625,4218.7001953125,4228.47998046875,19013350000,-51.669921875
2022-08-21,Ohio State football,Dallas Cowboys,Super Bowl 2024,Nick Saban retiring,Powerball,Jim Harbaugh,"Perry, Iowa",NFL Games Today,Jason Kelce retire,Kansas City Chiefs,Adam Harrison,Oscar nominations 2024,Alabama vs Michigan,Vince McMahon,Adan Canto,New Year's Day,Penn State football,Dexter King,Ecuador,Super Bowl,Doc Rivers,Lipid,Rickey Smiley,NFL playoff picture,Pete Carroll,4195.080078125,4203.0400390625,4057.659912109375,4057.659912109375,18714200000,-170.820068359375
2022-08-28,Vince McMahon,Adan Canto,Super Bowl 2024,Powerball,Adam Harrison,"Perry, Iowa",Oscar nominations 2024,Alabama vs Michigan,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,Kansas City Chiefs,NFL Games Today,Ohio State football,Jason Kelce retire,New Year's Day,Lipid,Penn State football,NFL playoff picture,Super Bowl,Pete Carroll,Ecuador,Doc Rivers,Rickey Smiley,Dexter King,4034.580078125,4062.989990234375,3903.64990234375,3924.260009765625,19592960000,-133.39990234375
2022-09-04,Ohio State football,Adan Canto,Jim Harbaugh,Alabama vs Michigan,Super Bowl 2024,Oscar nominations 2024,Nick Saban retiring,Kansas City Chiefs,NFL Games Today,Adam Harrison,Dallas Cowboys,Powerball,Vince McMahon,New Year's Day,Jason Kelce retire,"Perry, Iowa",Ecuador,Rickey Smiley,Pete Carroll,Penn State football,Dexter King,Lipid,NFL playoff picture,Doc Rivers,Super Bowl,3930.889892578125,4076.81005859375,3886.75,4067.360107421875,15886450000,143.10009765625
2022-09-11,Vince McMahon,Oscar nominations 2024,Jim Harbaugh,Adan Canto,Super Bowl 2024,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,Nick Saban retiring,"Perry, Iowa",Ohio State football,Jason Kelce retire,Adam Harrison,Dallas Cowboys,Powerball,NFL Games Today,Penn State football,Pete Carroll,Dexter King,NFL playoff picture,Doc Rivers,Rickey Smiley,Super Bowl,Ecuador,Lipid,4083.669921875,4119.27978515625,3837.080078125,3873.330078125,24728470000,-194.030029296875
2022-09-18,Vince McMahon,New Year's Day,Oscar nominations 2024,Ohio State football,Super Bowl 2024,"Perry, Iowa",Alabama vs Michigan,Adan Canto,Powerball,Adam Harrison,Jason Kelce retire,Kansas City Chiefs,Nick Saban retiring,NFL Games Today,Dallas Cowboys,Jim Harbaugh,Penn State football,Super Bowl,NFL playoff picture,Ecuador,Doc Rivers,Rickey Smiley,Pete Carroll,Dexter King,Lipid,3849.909912109375,3907.070068359375,3647.469970703125,3693.22998046875,21332100000,-180.10009765625
2022-09-25,Adan Canto,Vince McMahon,Alabama vs Michigan,Kansas City Chiefs,Super Bowl 2024,"Perry, Iowa",New Year's Day,Jason Kelce retire,Jim Harbaugh,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,Powerball,Adam Harrison,Ohio State football,Dallas Cowboys,Rickey Smiley,Ecuador,Pete Carroll,Super Bowl,Lipid,NFL playoff picture,Penn State football,Dexter King,Doc Rivers,3682.719970703125,3736.739990234375,3584.1298828125,3585.6201171875,24475900000,-107.60986328125
2022-10-02,Ohio State football,Jason Kelce retire,New Year's Day,"Perry, Iowa",Super Bowl 2024,Alabama vs Michigan,Kansas City Chiefs,NFL Games Today,Dallas Cowboys,Oscar nominations 2024,Vince McMahon,Jim Harbaugh,Nick Saban retiring,Adam Harrison,Adan Canto,Powerball,Dexter King,Penn State football,NFL playoff picture,Super Bowl,Pete Carroll,Ecuador,Rickey Smiley,Lipid,Doc Rivers,3609.780029296875,3806.909912109375,3604.929931640625,3639.659912109375,22948200000,54.039794921875
2022-10-09,Adam Harrison,Ohio State football,Jim Harbaugh,Oscar nominations 2024,Adan Canto,NFL Games Today,"Perry, Iowa",New Year's Day,Super Bowl 2024,Dallas Cowboys,Kansas City Chiefs,Alabama vs Michigan,Nick Saban retiring,Vince McMahon,Jason Kelce retire,Powerball,Super Bowl,Ecuador,Penn State football,Pete Carroll,NFL playoff picture,Doc Rivers,Rickey Smiley,Lipid,Dexter King,3647.510009765625,3712.0,3491.580078125,3583.070068359375,21864890000,-56.58984375
2022-10-16,Ohio State football,Vince McMahon,"Perry, Iowa",New Year's Day,Adam Harrison,Super Bowl 2024,Dallas Cowboys,Oscar nominations 2024,Jim Harbaugh,Adan Canto,NFL Games Today,Nick Saban retiring,Kansas City Chiefs,Powerball,Jason Kelce retire,Alabama vs Michigan,NFL playoff picture,Penn State football,Doc Rivers,Ecuador,Super Bowl,Dexter King,Lipid,Rickey Smiley,Pete Carroll,3638.64990234375,3762.7900390625,3638.64990234375,3752.75,22634960000,169.679931640625
2022-10-23,Alabama vs Michigan,Ohio State football,"Perry, Iowa",Jason Kelce retire,Jim Harbaugh,Vince McMahon,Super Bowl 2024,Adan Canto,Dallas Cowboys,Kansas City Chiefs,Oscar nominations 2024,Adam Harrison,NFL Games Today,Powerball,Nick Saban retiring,New Year's Day,Dexter King,NFL playoff picture,Super Bowl,Lipid,Ecuador,Penn State football,Pete Carroll,Doc Rivers,Rickey Smiley,3762.010009765625,3905.419921875,3741.64990234375,3901.06005859375,23555090000,148.31005859375
2022-10-30,New Year's Day,Ohio State football,Vince McMahon,Adam Harrison,Jim Harbaugh,Dallas Cowboys,NFL Games Today,Kansas City Chiefs,Nick Saban retiring,Oscar nominations 2024,Jason Kelce retire,Adan Canto,Super Bowl 2024,"Perry, Iowa",Powerball,Alabama vs Michigan,Lipid,Pete Carroll,Doc Rivers,Dexter King,NFL playoff picture,Ecuador,Super Bowl,Rickey Smiley,Penn State football,3881.85009765625,3911.7900390625,3698.14990234375,3770.550048828125,24226300000,-130.510009765625
2022-11-06,Ohio State football,Super Bowl 2024,"Perry, Iowa",New Year's Day,NFL Games Today,Jason Kelce retire,Oscar nominations 2024,Powerball,Vince McMahon,Adam Harrison,Alabama vs Michigan,Kansas City Chiefs,Adan Canto,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,Dexter King,Penn State football,Super Bowl,Ecuador,Rickey Smiley,Doc Rivers,Lipid,NFL playoff picture,Pete Carroll,3780.7099609375,4001.47998046875,3744.219970703125,3992.929931640625,24968840000,222.3798828125
2022-11-13,Adan Canto,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Ohio State football,Dallas Cowboys,Vince McMahon,New Year's Day,Kansas City Chiefs,Super Bowl 2024,Jim Harbaugh,NFL Games Today,Powerball,Alabama vs Michigan,Nick Saban retiring,"Perry, Iowa",NFL playoff picture,Dexter King,Ecuador,Lipid,Super Bowl,Rickey Smiley,Pete Carroll,Penn State football,Doc Rivers,3977.969970703125,4028.840087890625,3906.5400390625,3965.340087890625,21831700000,-27.58984375
2022-11-20,Powerball,"Perry, Iowa",Alabama vs Michigan,Ohio State football,Adan Canto,Jim Harbaugh,Super Bowl 2024,New Year's Day,NFL Games Today,Dallas Cowboys,Vince McMahon,Nick Saban retiring,Oscar nominations 2024,Jason Kelce retire,Kansas City Chiefs,Adam Harrison,Penn State football,Rickey Smiley,Dexter King,Ecuador,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,Doc Rivers,3956.22998046875,4034.02001953125,3933.340087890625,4026.1201171875,12724860000,60.780029296875
2022-11-27,Ohio State football,Vince McMahon,Jim Harbaugh,Adam Harrison,Kansas City Chiefs,"Perry, Iowa",Super Bowl 2024,Adan Canto,Powerball,NFL Games Today,Nick Saban retiring,Oscar nominations 2024,Jason Kelce retire,New Year's Day,Dallas Cowboys,Alabama vs Michigan,Doc Rivers,Pete Carroll,Super Bowl,Dexter King,Ecuador,Penn State football,NFL playoff picture,Lipid,Rickey Smiley,4005.360107421875,4100.509765625,3937.64990234375,4071.699951171875,22280580000,45.579833984375
2022-12-04,Ohio State football,Adan Canto,Oscar nominations 2024,Powerball,Nick Saban retiring,"Perry, Iowa",Alabama vs Michigan,New Year's Day,Dallas Cowboys,Kansas City Chiefs,Jason Kelce retire,Jim Harbaugh,Super Bowl 2024,Adam Harrison,Vince McMahon,NFL Games Today,Doc Rivers,Ecuador,Lipid,Dexter King,Pete Carroll,Super Bowl,Penn State football,Rickey Smiley,NFL playoff picture,4052.02001953125,4052.449951171875,3918.389892578125,3934.3798828125,20662410000,-137.320068359375
2022-12-11,Super Bowl 2024,New Year's Day,Jim Harbaugh,Jason Kelce retire,"Perry, Iowa",Adan Canto,Vince McMahon,Dallas Cowboys,Ohio State football,Kansas City Chiefs,NFL Games Today,Powerball,Alabama vs Michigan,Nick Saban retiring,Adam Harrison,Oscar nominations 2024,Penn State football,NFL playoff picture,Ecuador,Pete Carroll,Lipid,Super Bowl,Doc Rivers,Dexter King,Rickey Smiley,3939.2900390625,4100.9599609375,3827.909912109375,3852.360107421875,25443390000,-82.019775390625
2022-12-18,Kansas City Chiefs,Super Bowl 2024,Jim Harbaugh,Jason Kelce retire,Adam Harrison,Powerball,Vince McMahon,Oscar nominations 2024,Nick Saban retiring,"Perry, Iowa",NFL Games Today,Ohio State football,Adan Canto,New Year's Day,Alabama vs Michigan,Dallas Cowboys,Super Bowl,Penn State football,Ecuador,Doc Rivers,Lipid,Dexter King,NFL playoff picture,Pete Carroll,Rickey Smiley,3853.7900390625,3889.820068359375,3764.489990234375,3844.820068359375,18506410000,-7.5400390625
2022-12-25,Jason Kelce retire,Vince McMahon,Adam Harrison,Ohio State football,Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Dallas Cowboys,Adan Canto,NFL Games Today,Oscar nominations 2024,Powerball,Nick Saban retiring,"Perry, Iowa",Jim Harbaugh,New Year's Day,Doc Rivers,Lipid,NFL playoff picture,Super Bowl,Ecuador,Dexter King,Rickey Smiley,Penn State football,Pete Carroll,3843.340087890625,3858.18994140625,3780.780029296875,3839.5,12097370000,-5.320068359375
2023-01-01,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3853.2900390625,3906.18994140625,3794.330078125,3895.080078125,16190230000,55.580078125
2023-01-08,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3910.820068359375,4003.949951171875,3877.2900390625,3999.090087890625,20846120000,104.010009765625
2023-01-15,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3999.280029296875,4015.389892578125,3885.5400390625,3972.610107421875,16539130000,-26.47998046875
2023-01-22,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,3978.139892578125,4094.2099609375,3949.06005859375,4070.56005859375,18707010000,97.949951171875
2023-01-29,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4049.27001953125,4195.43994140625,4015.550048828125,4136.47998046875,23657120000,65.919921875
2023-02-05,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4119.56982421875,4176.5400390625,4060.7900390625,4090.4599609375,20661640000,-46.02001953125
2023-02-12,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football,4096.6201171875,4159.77001953125,4047.949951171875,4079.090087890625,19642940000,-11.369873046875
