,Open,High,Low,Close,Volume,week,Close_change
168,34669.8515625,34942.69921875,34341.80859375,34861.23828125,1735230000,2022-03-20,106.30859375
169,34833.03125,35372.26171875,34538.25,34818.26953125,1745960000,2022-03-27,-42.96875
170,34799.98046875,35112.2109375,34190.94921875,34721.12109375,1628450000,2022-04-03,-97.1484375
171,34630.26953125,34889.171875,34102.80859375,34451.23046875,1334110000,2022-04-10,-269.890625
172,34411.48828125,35492.21875,33773.390625,33811.3984375,1637750000,2022-04-17,-639.83203125
173,33731.6484375,34106.01171875,32913.1484375,32977.2109375,2206090000,2022-04-24,-834.1875
174,32978.48828125,34117.73828125,32449.869140625,32899.37109375,2093810000,2022-05-01,-77.83984375
175,32685.169921875,32752.169921875,31228.220703125,32196.66015625,2301280000,2022-05-08,-702.7109375
176,32152.150390625,32689.140625,30635.759765625,31261.900390625,2197100000,2022-05-15,-934.759765625
177,31395.890625,33213.62109375,31365.58984375,33212.9609375,1808410000,2022-05-22,1951.060546875
178,33160.58984375,33272.33984375,32509.4296875,32899.69921875,1503550000,2022-05-29,-313.26171875
179,33032.0390625,33235.37109375,31387.83984375,31392.7890625,1446240000,2022-06-05,-1506.91015625
180,31144.91015625,31144.91015625,29653.2890625,29888.779296875,2367500000,2022-06-12,-1504.009765625
181,30074.689453125,31517.2890625,30074.689453125,31500.6796875,1547290000,2022-06-19,1611.900390625
182,31533.599609375,31885.08984375,30431.869140625,31097.259765625,1634590000,2022-06-26,-403.419921875
183,30903.119140625,31511.4609375,30355.119140625,31338.150390625,1147620000,2022-07-03,240.890625
184,31277.98046875,31367.55078125,30143.9296875,31288.259765625,1507740000,2022-07-10,-49.890625
185,31475.98046875,32219.25,30982.970703125,31899.2890625,1624400000,2022-07-17,611.029296875
186,31950.9296875,32910.1796875,31705.359375,32845.12890625,1764330000,2022-07-24,945.83984375
187,32755.7109375,32972.03125,32387.119140625,32803.46875,1568680000,2022-07-31,-41.66015625
188,32877.359375,33767.08984375,32702.66015625,33761.05078125,1475340000,2022-08-07,957.58203125
189,33710.69921875,34281.359375,33582.9609375,33706.73828125,1409270000,2022-08-14,-54.3125
190,33586.58984375,33586.58984375,32278.220703125,32283.400390625,1479050000,2022-08-21,-1423.337890625
191,32188.0,32325.16015625,31182.08984375,31318.439453125,1673290000,2022-08-28,-964.9609375
192,31343.7890625,32227.740234375,31048.4609375,32151.7109375,1347720000,2022-09-04,833.271484375
193,32159.490234375,32504.0390625,30550.080078125,30822.419921875,2090270000,2022-09-11,-1329.291015625
194,30722.859375,31026.890625,29250.470703125,29590.41015625,1687600000,2022-09-18,-1232.009765625
195,29536.83984375,29811.779296875,28715.849609375,28725.509765625,2014030000,2022-09-25,-864.900390625
196,28855.25,30454.4609375,28855.25,29296.7890625,1738870000,2022-10-02,571.279296875
197,29419.08984375,30428.8203125,28660.939453125,29634.830078125,1822100000,2022-10-09,338.041015625
198,30059.580078125,31119.26953125,29997.619140625,31082.560546875,1822360000,2022-10-16,1447.73046875
199,31187.3203125,32889.80859375,31161.41015625,32861.80078125,1983920000,2022-10-23,1779.240234375
200,32754.26953125,33071.9296875,31727.05078125,32403.220703125,1889340000,2022-10-30,-458.580078125
201,32454.099609375,33817.9609375,32424.990234375,33747.859375,1934760000,2022-11-06,1344.638671875
202,33662.05078125,33987.05859375,33239.75,33745.69140625,1678670000,2022-11-13,-2.16796875
203,33760.30078125,34386.51171875,33559.1796875,34347.03125,998510000,2022-11-20,601.33984375
204,34275.91015625,34595.51171875,33583.76953125,34429.87890625,1743820000,2022-11-27,82.84765625
205,34335.73046875,34335.73046875,33418.58984375,33476.4609375,1538620000,2022-12-04,-953.41796875
206,33519.5,34712.28125,32654.58984375,32920.4609375,2245780000,2022-12-11,-556.0
207,32921.44921875,33437.83984375,32573.4296875,33203.9296875,1520110000,2022-12-18,283.46875
208,33224.23046875,33387.71875,32847.8203125,33147.25,1036830000,2022-12-25,-56.6796875
209,33148.8984375,33710.66015625,32812.328125,33630.609375,1433990000,2023-01-01,483.359375
210,33664.390625,34342.3203125,33421.80078125,34302.609375,1480050000,2023-01-08,672.0
211,34222.3203125,34269.96875,32948.9296875,33375.48828125,1391820000,2023-01-15,-927.12109375
212,33439.55859375,34164.328125,33273.2109375,33978.078125,1764510000,2023-01-22,602.58984375
213,33909.2109375,34334.69921875,33581.421875,33926.01171875,1929340000,2023-01-29,-52.06640625
214,33874.44140625,34252.5703125,33591.98828125,33869.26953125,1617780000,2023-02-05,-56.7421875
215,33887.390625,34331.46875,33517.73046875,33826.69140625,1479380000,2023-02-12,-42.578125
216,33699.69140625,33699.69140625,32643.48046875,32816.921875,1235470000,2023-02-19,-1009.76953125
217,32906.16015625,33405.8203125,32500.7109375,33390.96875,1457730000,2023-02-26,574.046875
218,33425.3203125,33572.21875,31783.41015625,31909.640625,1584990000,2023-03-05,-1481.328125
219,31819.9296875,32306.58984375,31429.8203125,31861.98046875,2394800000,2023-03-12,-47.66015625
220,31872.330078125,32761.890625,31805.1796875,32237.529296875,1698890000,2023-03-19,375.548828125
221,32276.720703125,33291.0,32276.720703125,33274.1484375,1491350000,2023-03-26,1036.619140625
222,33245.78125,33634.71875,33245.78125,33485.2890625,1140590000,2023-04-02,211.140625
223,33425.25,34082.94140625,33343.4296875,33886.46875,1288600000,2023-04-09,401.1796875
224,33930.4609375,34018.62109375,33677.73828125,33808.9609375,1338580000,2023-04-16,-77.5078125
225,33805.0390625,34104.55859375,33235.8515625,34098.16015625,1568620000,2023-04-23,289.19921875
226,34116.80859375,34257.828125,32937.5,33674.37890625,1427060000,2023-04-30,-423.78125
227,33715.1484375,33772.08984375,33110.609375,33300.62109375,1255370000,2023-05-07,-373.7578125
228,33321.2109375,33652.8984375,33006.19140625,33426.62890625,1426110000,2023-05-14,126.0078125
229,33408.5390625,33512.30078125,32586.560546875,33093.33984375,1501590000,2023-05-21,-333.2890625
230,33103.6484375,33805.0,32704.509765625,33762.76171875,1745740000,2023-05-28,669.421875
231,33771.12890625,33975.3203125,33399.69140625,33876.78125,1540110000,2023-06-04,114.01953125
232,33906.80078125,34588.6796875,33783.55078125,34299.12109375,1928460000,2023-06-11,422.33984375
